2019/03/23 17:14:35 [error] 6980#0: *9 connect() failed (111: Connection refused) while connecting to upstream, client: 101.227.139.163, server: , request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8000/", host: "www.btewz.com"
2019/03/23 17:14:35 [info] 6980#0: *9 client 101.227.139.163 closed keepalive connection
2019/03/23 17:15:35 [error] 6980#0: *11 connect() failed (111: Connection refused) while connecting to upstream, client: 101.89.19.197, server: , request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8000/", host: "www.btewz.com"
2019/03/23 17:16:35 [info] 6980#0: *11 client 101.89.19.197 closed keepalive connection
2019/03/23 17:50:20 [error] 6980#0: *13 connect() failed (111: Connection refused) while connecting to upstream, client: 81.163.49.117, server: , request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8000/", host: "47.93.11.157:80"
2019/03/23 17:50:20 [info] 6980#0: *13 client 81.163.49.117 closed keepalive connection
2019/03/23 17:54:05 [info] 6980#0: *15 client closed connection while waiting for request, client: 118.31.251.34, server: 0.0.0.0:80
2019/03/23 18:06:33 [error] 6980#0: *16 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET /muieblackcat HTTP/1.1", upstream: "http://127.0.0.1:8000/muieblackcat", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *18 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *22 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/pma/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/pma/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *24 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //admin/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//admin/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *26 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //db/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//db/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *28 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //dbadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//dbadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *30 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //dbdmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//dbdmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *32 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //myadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//myadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *34 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysql/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysql/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *36 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //mysqladmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//mysqladmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:33 [error] 6980#0: *38 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //typo3/phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//typo3/phpmyadmin/scripts/setup.php", host: "47.93.11.157"
2019/03/23 18:06:36 [error] 6980#0: *40 connect() failed (111: Connection refused) while connecting to upstream, client: 118.31.251.34, server: , request: "GET //phpMyAdmin/scripts/setup.php HTTP/1.1", upstream: "http://127.0.0.1:8000//phpMyAdmin/scripts/setup.php", host: "47.93.11.157"
